"Date","MONTH","CHIRP_KIR","CHIRP_MUY","OBS_KIR","OBS_MUY","ERA5_KIR","ERA5_MUY"
1996-12-01,12,"91.59599999999999","120.15899999999999","49.7999999451","154.2","58.0","107.0"
1997-01-01,1,"123.87599999999998","150.67199999999997","89.5999999176","136.39999999999998","66.0","100.0"
1997-02-01,2,"53.644000000000005","66.201","21.4000000002","58.50000000000001","30.0","67.0"
1997-03-01,3,"141.746","151.482","121.699999811","199.89999999999998","104.0","154.0"
1997-04-01,4,"235.03299999999996","255.10199999999998","231.5999998769","297.6","208.0","239.0"
1997-05-01,5,"124.315","118.84000000000002","174.99999977010003","93.70000000000002","159.0","164.0"
1997-06-01,6,"13.321000000000002","4.141","1.8999999998","3.7","10.0","9.0"
1997-07-01,7,"3.911","1.973","0.4","0.0","1.0","0.0"
1997-08-01,8,"24.893","16.418","4.0999999998000005","24.0","2.0","1.0"
1997-09-01,9,"23.725","18.018","6.2000000002","14.799999999999999","5.0","2.0"
1997-10-01,10,"135.548","145.45100000000002","105.2999999448","174.7","174.0","202.0"
1997-11-01,11,"188.33399999999995","197.825","229.79999976220003","215.8","254.0","304.0"
1997-12-01,12,"128.44700000000003","158.274","212.59999991950002","361.80000000000007","212.0","280.0"
1998-01-01,1,"163.587","178.394","279.2999998207","188.29999999999998","178.0","251.0"
1998-02-01,2,"123.44899999999998","145.77200000000002","137.6999998787","137.8","165.0","215.0"
1998-03-01,3,"204.26100000000002","220.811","140.19999985500004","228.7","166.0","234.0"
1998-04-01,4,"165.32699999999994","167.19899999999996","196.3999997238","125.50000000000001","168.0","204.0"
1998-05-01,5,"109.54699999999998","89.395","112.4999998773","46.800000000000004","107.0","108.0"
1998-06-01,6,"13.664000000000001","9.895999999999999","27.0999999939","7.4","26.0","19.0"
1998-07-01,7,"2.352","0.61","7.6999999899","0.0","0.0","0.0"
1998-08-01,8,"8.911999999999999","5.3069999999999995","3.0999999995999996","0.2","13.0","9.0"
1998-09-01,9,"64.27300000000001","47.11","90.6999999761","42.40000000000001","26.0","23.0"
1998-10-01,10,"92.945","85.58999999999999","100.69999993699999","70.09999999999998","80.0","85.0"
1998-11-01,11,"89.73299999999999","77.368","39.5999999624","59.3","67.0","96.0"
1998-12-01,12,"76.66900000000001","84.90400000000001","22.799999991200004","57.4","49.0","94.0"
1999-01-01,1,"81.773","106.73700000000001","59.7999999458","87.7","109.0","134.0"
1999-02-01,2,"27.340999999999998","40.99399999999999","21.0999999905","15.5","13.0","25.0"
1999-03-01,3,"198.003","194.958","192.59999977340001","247.10000000000002","155.0","179.0"
1999-04-01,4,"102.344","115.413","98.3999999151","71.0","129.0","146.0"
1999-05-01,5,"72.953","54.379999999999995","83.89999992780001","41.49999999999999","45.0","52.0"
1999-06-01,6,"5.291","1.814","0.0","0.0","0.0","1.0"
1999-07-01,7,"0.742","0.299","0.0","0.0","0.0","0.0"
1999-08-01,8,"31.226","19.5","42.79999995280001","17.699999999999996","38.0","35.0"
1999-09-01,9,"63.724000000000004","54.578","105.59999991759999","42.2","29.0","28.0"
1999-10-01,10,"62.654999999999994","53.766000000000005","71.2999999816","49.2","37.0","53.0"
1999-11-01,11,"114.676","132.56599999999997","68.5999999277","122.1","127.0","169.0"
1999-12-01,12,"111.47399999999999","142.52899999999997","167.4999997658","133.0","156.0","205.0"
2000-01-01,1,"65.23100000000001","85.258","44.199999931200004","86.0","68.0","102.0"
2000-02-01,2,"56.71","70.783","74.6999999665","36.49999999999999","59.0","93.0"
2000-03-01,3,"161.248","174.68599999999998","160.2999998123","221.29999999999998","109.0","156.0"
2000-04-01,4,"96.312","97.96700000000001","105.99999991850001","87.0","124.0","142.0"
2000-05-01,5,"43.55499999999999","38.181","55.9999999762","21.700000000000003","27.0","18.0"
2000-06-01,6,"4.804","1.1400000000000001","0.2","2.2","1.0","1.0"
2000-07-01,7,"1.074","0.65","0.0","0.0","0.0","0.0"
2000-08-01,8,"7.552","4.301","0.0","0.0","1.0","1.0"
2000-09-01,9,"24.651999999999997","19.483","31.7999999546","10.8","8.0","6.0"
2000-10-01,10,"92.56299999999999","76.20899999999999","80.4999999055","85.8","88.0","99.0"
2000-11-01,11,"156.877","176.62300000000002","86.99999996700001","133.89999999999998","120.0","155.0"
2000-12-01,12,"128.16400000000002","168.751","89.29999994399999","169.2","104.0","173.0"
